,date,vwretd,vwretx,ewretd,ewretx,sprtrn,spindx,totval,totcnt,usdval,usdcnt
124,1936-04-30,-0.08148064000000001,-0.08264557,-0.122963,-0.1240958,-0.07707775,13.77,40281534.800000004,733.0,43358361.7,718.0
125,1936-05-29,0.05204289,0.04748753,0.0512181,0.04928753,0.04575163,14.4,42225379.900000006,728.0,40273492.300000004,727.0
126,1936-06-30,0.02467073,0.02075382,-0.0003247727,-0.003383621,0.03055556,14.84,43221826.400000006,731.0,42217514.5,726.0
127,1936-07-31,0.06595436,0.06432601,0.08192968,0.08030614,0.0680593,15.85,46034040.5,733.0,43206701.400000006,729.0
128,1936-08-31,0.01095011,0.006604931000000001,0.02144704,0.01946455,0.008832808000000001,15.99,46342114.1,732.0,45996893.5,730.0
129,1936-09-30,0.01189897,0.007962374000000001,0.03266754,0.02927657,0.001250782,16.01,46808203.1,736.0,46302712.1,731.0
130,1936-10-31,0.06998621000000001,0.06846856,0.06375487,0.06189309,0.07495315,17.21,50082903.1,732.0,46643283.800000004,729.0
131,1936-11-30,0.03285445,0.02401865,0.09142693,0.08592249,0.004067403000000001,17.28,51389078.0,742.0,50028655.6,730.0
132,1936-12-31,0.00279573,-0.003385325,0.02730618,0.01973977,-0.005787037,17.18,51610120.7,743.0,51273162.0,738.0
133,1937-01-30,0.0332575,0.03183618,0.0762208,0.07429712000000001,0.03783469,17.83,53291983.800000004,748.0,51521139.2,737.0
134,1937-02-27,0.01311363,0.01021223,0.02390417,0.02203001,0.01458216,18.09,53954079.2,751.0,53253714.7,746.0
135,1937-03-31,-0.002732144,-0.006259466,0.001064857,-0.002212567,-0.009397457000000001,17.92,53910122.7,757.0,53936766.7,748.0
136,1937-04-30,-0.07541613,-0.0765765,-0.1010241,-0.10236,-0.08314732,16.43,49881318.800000004,758.0,53850083.2,753.0
137,1937-05-28,-0.007054292,-0.01190365,-0.02452405,-0.02733327,-0.01034693,16.26,49310875.800000004,760.0,49871728.2,756.0
138,1937-06-30,-0.04174794,-0.04627191,-0.07670218,-0.0806789,-0.05289053,15.4,47231598.900000006,764.0,49292452.800000004,757.0
139,1937-07-31,0.08972497,0.08811642,0.09961063,0.09771036,0.1025974,16.98,51346540.400000006,768.0,47226198.900000006,762.0
140,1937-08-31,-0.04836485,-0.05275796,-0.05274932,-0.05524601,-0.05535924,16.04,48758362.2,779.0,51329040.400000006,767.0
141,1937-09-30,-0.1366226,-0.1412787,-0.1931818,-0.1974575,-0.1421446,13.76,41956288.300000004,779.0,48748703.5,776.0
142,1937-10-30,-0.09579819,-0.09736761000000001,-0.1015493,-0.1039635,-0.1017442,12.36,37993021.6,781.0,41953355.800000004,778.0
143,1937-11-30,-0.08305319,-0.09519979,-0.1086378,-0.1152793,-0.1011327,11.11,34367681.4,782.0,37993021.6,781.0
144,1937-12-31,-0.04077352,-0.05000376,-0.09921516,-0.10968,-0.05040504,10.55,32636697.3,777.0,34258946.6,775.0
145,1938-01-31,0.006776150000000001,0.005110966000000001,0.04206019,0.03957748,0.01327014,10.69,33089179.8,785.0,32636697.3,777.0
146,1938-02-28,0.05801302,0.053921,0.0610612,0.05838636,0.06080449,11.34,34830549.9,783.0,33045044.5,782.0
147,1938-03-31,-0.2384162,-0.2431282,-0.285564,-0.2889304,-0.2504409,8.5,26427238.6,781.0,34750224.9,776.0
148,1938-04-30,0.145963,0.1440598,0.2061995,0.2045048,0.1411765,9.7,30261304.5,789.0,26379744.1,778.0
149,1938-05-31,-0.03905327,-0.04367674,-0.07046175,-0.07274666,-0.0443299,9.27,29010665.1,789.0,30260637.0,786.0
150,1938-06-30,0.2379136,0.2324737,0.3063527,0.3024447,0.2470334,11.56,35685196.6,788.0,28950365.1,787.0
151,1938-07-30,0.07209713,0.07062814,0.1218359,0.1204932,0.07266436,12.4,38212860.2,784.0,35635678.4,782.0
152,1938-08-31,-0.02713935,-0.03048395,-0.06378683,-0.06578311,-0.02741935,12.06,37047081.7,782.0,38202055.7,779.0
153,1938-09-30,0.008912485000000001,0.004988994,-0.01463327,-0.01722442,0.01492537,12.24,37231197.4,782.0,37047081.7,782.0
154,1938-10-31,0.07892665,0.0774769,0.1445388,0.1429288,0.0759804,13.17,40112983.4,779.0,37201937.2,778.0
155,1938-11-30,-0.0182064,-0.0232553,-0.03653049,-0.03937265,-0.03340926,12.73,39188031.6,780.0,40110606.4,777.0
156,1938-12-31,0.04191948,0.03651909,0.03347219,0.02847567,0.03770621,13.21,40503948.400000006,776.0,39172689.800000004,773.0
157,1939-01-31,-0.0603808,-0.06161134,-0.07572895,-0.07716962000000001,-0.0688872,12.3,37925799.4,777.0,40387555.400000006,775.0
158,1939-02-28,0.03525531,0.0311949,0.04138365,0.03945301,0.03252032,12.7,39226769.7,778.0,37924111.9,776.0
159,1939-03-31,-0.1207268,-0.1246727,-0.1737628,-0.1765366,-0.1354331,10.98,34333815.2,778.0,39208179.7,777.0
160,1939-04-29,-0.001931715,-0.003435781,0.002428541,0.0009311936000000001,-0.005464481,10.92,34221640.300000004,778.0,34279850.1,774.0
161,1939-05-31,0.06897085,0.06424364,0.08613653,0.08382732,0.06227106,11.6,36469843.1,778.0,34216196.6,775.0
162,1939-06-30,-0.05362552,-0.05818541,-0.08330261,-0.08678812,-0.0637931,10.86,34361046.1,777.0,36449025.5,774.0
163,1939-07-31,0.1022428,0.100681,0.1354971,0.1338999,0.1086556,12.04,37771800.6,779.0,34296116.6,774.0
164,1939-08-31,-0.06726375,-0.07178942,-0.1064949,-0.1088503,-0.07142857,11.18,35013042.2,778.0,37712190.6,777.0
165,1939-09-30,0.1618149,0.15731,0.3918782,0.3880187,0.1645796,13.02,40539978.1,777.0,35012558.300000004,775.0
166,1939-10-31,-0.00419136,-0.005407186,-0.006939000000000001,-0.008538633,-0.01459293,12.83,40328803.400000006,776.0,40538563.7,775.0
167,1939-11-30,-0.0371309,-0.04581723,-0.08131128,-0.08606465,-0.04910366,12.2,38498241.2,778.0,40327280.900000006,775.0
168,1939-12-30,0.0296858,0.02279488,0.01781051,0.009666936000000001,0.02377049,12.49,39426600.2,780.0,38495978.2,776.0
